,z_start,y_start,x0_start,x1_start,z_slice,y_slice,x_slice
0,1696,2464,3232,4768,"slice(1696, 1728, None)","slice(2464, 2496, None)","slice(3232, 4800, None)"
1,1696,2496,3232,4768,"slice(1696, 1728, None)","slice(2496, 2528, None)","slice(3232, 4800, None)"
2,1696,2528,3232,4768,"slice(1696, 1728, None)","slice(2528, 2560, None)","slice(3232, 4800, None)"
3,1696,2560,3232,4768,"slice(1696, 1728, None)","slice(2560, 2592, None)","slice(3232, 4800, None)"
4,1696,2592,3232,4768,"slice(1696, 1728, None)","slice(2592, 2624, None)","slice(3232, 4800, None)"
5,1696,2624,3232,4768,"slice(1696, 1728, None)","slice(2624, 2656, None)","slice(3232, 4800, None)"
6,1696,2656,3232,4768,"slice(1696, 1728, None)","slice(2656, 2688, None)","slice(3232, 4800, None)"
7,1696,2688,3232,4768,"slice(1696, 1728, None)","slice(2688, 2720, None)","slice(3232, 4800, None)"
8,1696,2720,3232,4768,"slice(1696, 1728, None)","slice(2720, 2752, None)","slice(3232, 4800, None)"
9,1696,2752,3200,4768,"slice(1696, 1728, None)","slice(2752, 2784, None)","slice(3200, 4800, None)"
10,1696,2784,3168,4768,"slice(1696, 1728, None)","slice(2784, 2816, None)","slice(3168, 4800, None)"
11,1696,2816,3136,4768,"slice(1696, 1728, None)","slice(2816, 2848, None)","slice(3136, 4800, None)"
12,1696,2848,3104,4768,"slice(1696, 1728, None)","slice(2848, 2880, None)","slice(3104, 4800, None)"
13,1696,2880,3072,4768,"slice(1696, 1728, None)","slice(2880, 2912, None)","slice(3072, 4800, None)"
14,1696,2912,3040,4768,"slice(1696, 1728, None)","slice(2912, 2944, None)","slice(3040, 4800, None)"
15,1696,2944,3008,4768,"slice(1696, 1728, None)","slice(2944, 2976, None)","slice(3008, 4800, None)"
16,1696,2976,2720,4768,"slice(1696, 1728, None)","slice(2976, 3008, None)","slice(2720, 4800, None)"
17,1696,3008,2720,4768,"slice(1696, 1728, None)","slice(3008, 3040, None)","slice(2720, 4800, None)"
18,1696,3040,2720,4768,"slice(1696, 1728, None)","slice(3040, 3072, None)","slice(2720, 4800, None)"
19,1696,3072,2720,4768,"slice(1696, 1728, None)","slice(3072, 3104, None)","slice(2720, 4800, None)"
20,1696,3104,2720,4768,"slice(1696, 1728, None)","slice(3104, 3136, None)","slice(2720, 4800, None)"
21,1696,3136,2720,4768,"slice(1696, 1728, None)","slice(3136, 3168, None)","slice(2720, 4800, None)"
22,1696,3168,2720,4768,"slice(1696, 1728, None)","slice(3168, 3200, None)","slice(2720, 4800, None)"
23,1696,3200,2720,4768,"slice(1696, 1728, None)","slice(3200, 3232, None)","slice(2720, 4800, None)"
24,1696,3232,2720,4768,"slice(1696, 1728, None)","slice(3232, 3264, None)","slice(2720, 4800, None)"
25,1696,3264,2720,4768,"slice(1696, 1728, None)","slice(3264, 3296, None)","slice(2720, 4800, None)"
26,1696,3296,2720,4768,"slice(1696, 1728, None)","slice(3296, 3328, None)","slice(2720, 4800, None)"
27,1696,3328,2720,4768,"slice(1696, 1728, None)","slice(3328, 3360, None)","slice(2720, 4800, None)"
28,1696,3360,2720,4768,"slice(1696, 1728, None)","slice(3360, 3392, None)","slice(2720, 4800, None)"
29,1696,3392,2720,4768,"slice(1696, 1728, None)","slice(3392, 3424, None)","slice(2720, 4800, None)"
30,1696,3424,2720,4768,"slice(1696, 1728, None)","slice(3424, 3456, None)","slice(2720, 4800, None)"
31,1696,3456,2720,4768,"slice(1696, 1728, None)","slice(3456, 3488, None)","slice(2720, 4800, None)"
32,1696,3488,2720,4768,"slice(1696, 1728, None)","slice(3488, 3520, None)","slice(2720, 4800, None)"
33,1696,3520,2720,4768,"slice(1696, 1728, None)","slice(3520, 3552, None)","slice(2720, 4800, None)"
34,1696,3552,2720,4480,"slice(1696, 1728, None)","slice(3552, 3584, None)","slice(2720, 4512, None)"
35,1696,3584,2720,4448,"slice(1696, 1728, None)","slice(3584, 3616, None)","slice(2720, 4480, None)"
